id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
78tblPcz2otRZd1VOeU7zz,"Kanja Poovu Kannala (From ""Viruman"")",Yuvan Shankar Raja,"Kanja Poovu Kannala (From ""Viruman"")",2022-05-25,0.8405797101449275,0.5535998508558312,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273ab415bb3b896e5b14f5e2fd0
1hEOJoHFX1ISo7T0aK25yh,Yedho Ondru,Harris Jayaraj,Lesa Lesa (Original Motion Picture Soundtrack),2003-05-16,0.0,0.7853512461694417,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b2736f99fd1b35a2237df59d0522
4Qpu4ptU8tbX9H5LVkwbA3,Oxygen,Hiphop Tamizha,Kavan (Original Motion Picture Soundtrack),2017-02-12,0.0,0.6387891357794531,"tamil hip hop, tamil pop, kollywood, tamil dance, tamil indie",https://i.scdn.co/image/ab67616d0000b273d9444dbbd4f00eaa926c3543
2VrNpMt23IX5ZfROWM7wAi,Malai Mangum Neram,Ranina Reddy,Rowthiram (Orignal Motion Picture Soundtrack),2011-07-20,0.8840579710144928,0.7308064271815247,"telugu pop, tollywood, tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273f54b6ead04e999383fbb597c
3yU77f8CS1rcZE4gqxQCKO,"Azhakooril (From ""Thirumalai"")",S. P. Balasubrahmanyam,S.P.Balasubramaniyam Hits,2014-05-25,0.7391304347826088,0.6357876093821003,"kannada pop, telugu pop, tamil pop, devotional, tollywood, sandalwood, kollywood",https://i.scdn.co/image/ab67616d0000b2735ccec25e859d2e8785f04d12
1Z3z0VrS7nlTPfVYGvGAeD,Venmathiye,Tippu,Minnalae (Original Motion Picture Soundtrack),2001-02-14,0.5217391304347826,0.7619402724211458,"tamil dance, kannada pop, tamil pop, kollywood, telugu pop, tollywood, sandalwood",https://i.scdn.co/image/ab67616d0000b273102f02fa7e7ded2bc5f65653
20IW0u1ZTzvEDAhhVjVMsq,Un Vizhigalil,Anirudh Ravichander,Maan Karate Special (Original Motion Picture Soundtrack),2014-07-11,0.8260869565217391,0.5674935623317758,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273398fc3cf882b5096d4951fa2
7BmMMyrqkh1LFANJpJHT1r,"Enna Solla (From ""Thangamagan"") - The New Life of Tamizh",Anirudh Ravichander,Young Mavericks (Anirudh & Santhosh Narayanan),2016-11-11,0.6521739130434783,0.503359239364739,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273ecbc81fd96c9470f60f0283c
1DfsxoKqz6M6CSOkX8HpxR,"Merke Merke ( From"" Kanda Naal Mudhalai"")",Shankar Mahadevan,Hits of Shankar Mahadevan,2013-03-25,0.855072463768116,0.7171038066718711,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b273b67db713bde6c152991694eb
27iPMLQgdDsAdUv2hC5NBC,Ayyo Ayyo,Srikanth Deva,M. Kumaran S/O Mahalakshmi (Original Motion Picture Soundtrack),2004-10-01,0.0,0.8093075282849586,"tamil dance, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27379adcb96f1113d568ee8ba98
