id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
1hhLL2eWsnPtYCdDjbiRIU,Thaarame Thaarame,Sid Sriram,Kadaram Kondan,2019-05-01,64,228214,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273a15a2fdd23b00a1cc68ae777
0QcpmVsHY4b4aI8fn0QJo5,Po Urave,Sid Sriram,Kaatrin Mozhi,2018-10-26,0,202857,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273360f9060f636e1dc2a6d36f3
102YVYHLNfgkfQP3qvDqsD,Koodamela Koodavechi,D. Imman,Rummy (Original Motion Picture Soundtrack),2013-10-25,62,300373,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b273afb3b966469add924abb08c3
7kPQmli34iMaAl1IAJ6PRe,"Aasai Aasai (From ""Dhol"")",Shankar Mahadevan,Hariharan and Shankar Mahadevan Hits,2013-06-27,41,320880,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b273726baae59080517397b2ead6
7mAmuoXcbyjXz4rTHEOCiG,Kaadhal Vaithu,Vijay Yesudas,Deepavali (Original Motion Picture Soundtrack),2007-01-05,0,309000,"malayalam pop, mollywood, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2736404b5e2335d78d0a99eb0e7
3PzkxdshpgSkWrEeVqTsDe,Asku Laska,Vijay Prakash,Nanban (Original Motion Picture Soundtrack),2011-12-23,0,380995,"kannada pop, sandalwood, tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273105a73df60d84f149d8ddb20
09Z6o1yu596HJAwWZxTz4m,Othaiyadi Pathayila,Dhibu Ninan Thomas,Kanaa (Original Motion Picture Soundtrack),2018-08-23,65,249671,"tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2737653c310bcee929732bd0efa
0aI4SOX8BknvAfOs607FlV,Neethanae,A.R. Rahman,Mersal (Original Motion Picture Soundtrack),2017-08-20,55,268455,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273e9880adf2d476f7ff34824ee
6qRiVOBexkxK4BxSt1j6rn,Anbae Peranbae,Sid Sriram,NGK (Original Motion Picture Soundtrack),2019-04-30,63,269333,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273487a5fa38bf29c93f168d56d
6sPW145Y3LSXd4p1LjBOcS,Kanave Kanave,Anirudh Ravichander,David,2013-01-10,66,284784,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2736b484c5fe1128f59f3a6a11f
2MwCoo4GeXpi8soWn9EiPo,Kannazhaga - The Kiss of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2011-12-23,65,205946,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18
6mmGbsCqf5e8vxv1WodYIG,Yathe Yathe,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,65,344360,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27334b1bdfeeb594c3295a2c17f
5jkH9Pgv28mW9ve6uGtohT,En Jeevan,G. V. Prakash,Theri (Original Motion Picture Soundtrack),2016-03-21,62,320234,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2737fbd05f382a4924f184a3602
3gnWw0LToxswxfC6Eb8GBp,Kadhal Aasai,Yuvan Shankar Raja,Anjaan (Original Motion Picture Soundtrack),2014-07-25,59,303750,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2734f32c4b2cecc78e5e647ecd0
7lnRiEP7BHXuILXNY9MH8f,Otha Sollaala,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,64,238986,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27334b1bdfeeb594c3295a2c17f
7mLEUzAulFygMchoGMrP8E,Ennodu Nee Irundhaal,A.R. Rahman,I (Original Motion Picture Soundtrack),2014-09-18,66,352710,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273809bf7d9ca23a1056904ed3d
5qGrY4iAi05Ej1yjfUUhNe,Kandaangi Kandaangi,Vijay,Jilla (Original Music Picture Soundtrack),2013-12-21,61,294315,"tamil pop, tamil dance, kollywood, haryanvi pop",https://i.scdn.co/image/ab67616d0000b273c4f7a9747fd5545b2629b56d
0fHPR4JZNbqs7OsFdYaLja,Paarthen (The Youth Of Power Paandi),"Sean Roldan,Shweta Mohan",Power Paandi (Original Motion Picture Soundtrack),2017-04-06,0,183758,,https://i.scdn.co/image/ab67616d0000b273b2258cfab21f9a365cc00b16
6m4AFk6Zl0onZBXn8YEPnf,"Karuppu Nerathazhagi (From ""Komban"")",Velmurugan,GVP - The Distinctive Genius,2020-06-09,0,271805,"tamil dance, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273b625962074b31e9bebc1e951
2uqXfUERVBLa1heEoUTBlO,Thuli Thuli,Yuvan Shankar Raja,Paiya (Original Motion Picture Soundtrack),2010-11-22,63,283346,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2737de8959929372430846f570e
0ZkVWrdIkkXrvdqT7fv7sF,"Shollathaan Innaikkiren (From"" Kadhal Sugamanthu"")",K. S. Chithra,Hits of Chitra,2002,0,302021,"malayalam pop, telugu pop, kannada pop, mollywood, tollywood, tamil pop, devotional, sandalwood",https://i.scdn.co/image/ab67616d0000b27394e04c4f0cb556e9e10a7422
2WO5nzB7QtKn9ZRc9Jkalt,Annul Maelae,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,66,322506,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
5h5jgfkYcU92Tt7bHT5Jgx,Poopol Poopol,Harris Jayaraj,Minnale (Original Motion Picture Soundtrack),1962-01-02,0,116706,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273b8504efae4eb2430d996ecdb
0DAGFNb2Mn8jYt69rcRnsY,Neeya Pesiyathu,Shankar Mahadevan,Thirumalai (Original Motion Picture Soundtrack),2003-04-13,51,277853,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b2739c141f30aca387de150bb8f7
261mjNl37KlVPVuu2cFl22,Chinna Maharani,Hariharan,Priyasakhi (Original Motion Picture Soundtrack),2005-04-30,34,290040,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b273fade51cc28ad6f136f0cc49b
7leZvkSK0HCGJAFSOaaqpA,Paakatha,Devi Sri Prasad,Aaru,2005-12-09,0,261813,"telugu pop, tollywood, tamil dance, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2731e5f14a041de3d6cd339ca86
0249Wjt2twxjF96oTWgnkr,Thoovaanam,D. Imman,Romeo Juliet (Original Motion Picture Soundtrack),2015-03-12,52,265500,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b273a1b7f6c0129ee7bdf0671767
4DjNNA9DIXEBfHJlClhXnp,"Senjitaley (From ""Remo"")",Anirudh Ravichander,"Senjitaley (From ""Remo"")",2016-07-02,45,251333,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2738463719650085b1cf579bf2c
4mOmWSdTmf6fSAibGWCKp7,Mental Manadhil,A.R. Rahman,O Kadhal Kanmani (Original Motion Picture Soundtrack),2015-04-07,60,205759,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2732318539f1b037d942fafa581
5oxWMyPoNhQvDBofsFJLmX,"Mottukkale (From ""Rojakkottam"")",Hariharan,Hits of Hariharan,2013-03-22,43,298800,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b273300c5c6e978b79fb5eb43429
0tdLg7JSZf81seknzIEdlG,Kannum Kannumthaan,Harish Raghavendra,Thirupaachi,2004-12-14,0,353626,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273620cc7a1bfb1ca69914c492c
1h4fhfxL7IU9jgzZlPEH51,Thaen Thaen,Udit Narayan,Kuruvi,2008-08-08,0,238600,"bollywood, hindi pop, desi",https://i.scdn.co/image/ab67616d0000b2738fd55ebb4631f806619a82a1
0SSLKt27B0a71OqsPy0uoY,Siragugal,Yuvan Shankar Raja,Sarvam,2009-02-14,0,325930,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b2738f83ad8b7424503f79b40457
