Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Cover URL
2MwCoo4GeXpi8soWn9EiPo,Kannazhaga - The Kiss of Love,3 (Original Motion Picture Soundtrack),"Anirudh Ravichander,Dhanush,Shruti Haasan",23-12-2011,205946,66,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:54:12Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.574,0.496,8,-7.153,0,0.0277,0.431,0,0.399,0.61,109.935,4,https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18
6mmGbsCqf5e8vxv1WodYIG,Yathe Yathe,Aadukalam (Original Motion Picture Soundtrack),G. V. Prakash,08-11-2010,344360,67,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:54:29Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood",Sony Music Entertainment India Pvt. Ltd.,0.454,0.606,9,-4.605,0,0.0604,0.791,0,0.0888,0.473,104.973,3,https://i.scdn.co/image/ab67616d0000b27334b1bdfeeb594c3295a2c17f
5jkH9Pgv28mW9ve6uGtohT,En Jeevan,Theri (Original Motion Picture Soundtrack),"G. V. Prakash,Hariharan,Saindhavi,Vaikom Vijayalakshmi",21-03-2016,320234,63,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:54:39Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,bhajan,ghazal,devotional,telugu pop,mollywood,malayalam pop",Think Music,0.393,0.29,7,-9.136,0,0.0385,0.552,3.84E-06,0.54,0.296,179.779,3,https://i.scdn.co/image/ab67616d0000b2737fbd05f382a4924f184a3602
3gnWw0LToxswxfC6Eb8GBp,Kadhal Aasai,Anjaan (Original Motion Picture Soundtrack),"Yuvan Shankar Raja,Sooraj Santhosh",25-07-2014,303750,60,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:54:43Z,"tamil pop,kollywood,tamil dance,tamil hip hop,mollywood,malayalam pop,tollywood,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.419,0.825,6,-5.013,1,0.0709,0.49,0,0.139,0.363,73.202,4,https://i.scdn.co/image/ab67616d0000b2734f32c4b2cecc78e5e647ecd0
7lnRiEP7BHXuILXNY9MH8f,Otha Sollaala,Aadukalam (Original Motion Picture Soundtrack),"G. V. Prakash,Velmurugan",08-11-2010,238986,65,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:54:49Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood",Sony Music Entertainment India Pvt. Ltd.,0.708,0.925,4,-5.676,0,0.185,0.683,0.000427,0.0748,0.958,79.932,4,https://i.scdn.co/image/ab67616d0000b27334b1bdfeeb594c3295a2c17f
7mLEUzAulFygMchoGMrP8E,Ennodu Nee Irundhaal,I (Original Motion Picture Soundtrack),"A.R. Rahman,Sid Sriram,Sunitha Sarathy",18-09-2014,352710,68,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:54:53Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance,tollywood,telugu pop,tamil hip hop",Sony Music Entertainment India Pvt. Ltd.,0.261,0.603,0,-6.733,1,0.0367,0.558,0,0.184,0.207,158.125,4,https://i.scdn.co/image/ab67616d0000b273809bf7d9ca23a1056904ed3d
5qGrY4iAi05Ej1yjfUUhNe,Kandaangi Kandaangi,Jilla (Original Music Picture Soundtrack),"Vijay,Shreya Ghoshal",21-12-2013,294315,62,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:55:01Z,"tamil pop,tamil dance,kollywood,haryanvi pop,bollywood,hindi pop,kannada pop,desi,marathi pop,sandalwood,bangla pop",Star Music,0.596,0.653,5,-3.817,0,0.0317,0.543,0,0.22,0.633,142.52,3,https://i.scdn.co/image/ab67616d0000b273c4f7a9747fd5545b2629b56d
0fHPR4JZNbqs7OsFdYaLja,Paarthen (The Youth Of Power Paandi),Power Paandi (Original Motion Picture Soundtrack),"Sean Roldan,Shweta Mohan",06-04-2017,183758,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:55:21Z,,Divo,0.581,0.534,4,-7.395,0,0.0705,0.467,0.00015,0.109,0.653,169.748,4,https://i.scdn.co/image/ab67616d0000b273b2258cfab21f9a365cc00b16
6m4AFk6Zl0onZBXn8YEPnf,Karuppu Nerathazhagi (From Komban),GVP - The Distinctive Genius,"Velmurugan,Maalavika Sundar",09-06-2020,271805,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:55:30Z,"tamil dance,tamil pop,kollywood,tamil indie",Divo,0.79,0.772,10,-6.553,0,0.13,0.426,0,0.139,0.894,99.984,4,https://i.scdn.co/image/ab67616d0000b273b625962074b31e9bebc1e951
2uqXfUERVBLa1heEoUTBlO,Thuli Thuli,Paiya (Original Motion Picture Soundtrack),"Yuvan Shankar Raja,Haricharan,Tanvi Shah",22-11-2010,283346,64,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:56:07Z,"tamil pop,kollywood,tamil dance,tamil hip hop,mollywood,tollywood,telugu pop,malayalam pop,kannada pop",Think Music (India),0.709,0.528,7,-7.429,0,0.0309,0.256,0.00189,0.112,0.649,91.999,4,https://i.scdn.co/image/ab67616d0000b2737de8959929372430846f570e
